data_year,pub_agency_name,state_name,county_name,offense_name,location_name,prop_desc_name,stolen_value
2012,Hillsborough,Florida,HILLSBOROUGH,Embezzlement,Parking/Drop Lot/Garage,Consumable Goods,105158.0
2012,Hillsborough,Florida,HILLSBOROUGH,Embezzlement,Parking/Drop Lot/Garage,Consumable Goods,105158.0
2012,Hillsborough,Florida,HILLSBOROUGH,Embezzlement,Parking/Drop Lot/Garage,Consumable Goods,105158.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,150000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,75000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,70000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,70000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,70000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,70000.0
2012,Jacksonville,Florida,DUVAL,Robbery,Commercial/Office Building,Consumable Goods,10000.0
2012,Jacksonville,Florida,DUVAL,Robbery,Commercial/Office Building,Consumable Goods,10000.0
2012,Colleton,South Carolina,COLLETON,Theft From Motor Vehicle,Parking/Drop Lot/Garage,Firearms,6550.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,8000.0
2012,Washington,Virginia,WASHINGTON,All Other Larceny,Parking/Drop Lot/Garage,"Metals, Non-Precious",200000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,50000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,50000.0
2012,Polk,Florida,POLK,All Other Larceny,Commercial/Office Building,Trailers,15000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,50000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,50000.0
2012,Washington,Virginia,WASHINGTON,Theft From Motor Vehicle,Service/Gas Station,Trailers,15000.0
2012,Washington,Virginia,WASHINGTON,Theft of Motor Vehicle Parts or Accessories,Service/Gas Station,Trailers,15000.0
2012,Washington,Virginia,WASHINGTON,Motor Vehicle Theft,Service/Gas Station,Trailers,15000.0
2012,University of Memphis,Tennessee,SHELBY,Motor Vehicle Theft,Parking/Drop Lot/Garage,Automobile,5000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,60000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Trailers,40000.0
2012,Washington,Virginia,WASHINGTON,Motor Vehicle Theft,Service/Gas Station,"Metals, Non-Precious",500000.0
2012,Washington,Virginia,WASHINGTON,Theft of Motor Vehicle Parts or Accessories,Service/Gas Station,"Metals, Non-Precious",500000.0
2012,Washington,Virginia,WASHINGTON,Theft From Motor Vehicle,Service/Gas Station,"Metals, Non-Precious",500000.0
2012,Hillsborough,Florida,HILLSBOROUGH,Theft From Motor Vehicle,Highway/Road/Alley/Street/Sidewalk,"Metals, Non-Precious",17000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Industrial Site,Trailers,60000.0
2012,Hillsborough,Florida,HILLSBOROUGH,Theft From Motor Vehicle,Highway/Road/Alley/Street/Sidewalk,"Metals, Non-Precious",17000.0
2012,Polk,Florida,POLK,Theft From Motor Vehicle,Commercial/Office Building,Other,50000.0
2012,Polk,Florida,POLK,Theft From Motor Vehicle,Commercial/Office Building,Other,50000.0
2012,Polk,Florida,POLK,Theft From Motor Vehicle,Commercial/Office Building,Other,50000.0
2012,Polk,Florida,POLK,Theft From Motor Vehicle,Commercial/Office Building,Other,50000.0
2012,Polk,Florida,POLK,Theft From Motor Vehicle,Commercial/Office Building,Other,50000.0
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Other,300000.0
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Other,300000.0
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Other,300000.0
2012,Orange,Florida,ORANGE,Motor Vehicle Theft,Service/Gas Station,Consumable Goods,70000.0
2012,Muskegon Heights,Michigan,MUSKEGON,Motor Vehicle Theft,Highway/Road/Alley/Street/Sidewalk,Automobile,8914.0
2012,Apopka,Florida,ORANGE,Motor Vehicle Theft,Parking/Drop Lot/Garage,Consumable Goods,92192.0
